id,pays,code_insee,commune,departement,region,org_lon,org_lat,org_precision,org_methode,org_adresse,org_source,ctrl_lieu,ctrl_lon,ctrl_lat,ctrl_precision,drapeaux
2015-159ac173-1,FR,94068,Saint-Maur-des-Fossés,94,11,2.4921,48.7999,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.4921,48.7999,commune,lieu_controle_inconnu
2015-8f456e05-1,FR,94041,Ivry-sur-Seine,94,11,2.3872,48.8125,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3872,48.8125,commune,lieu_controle_inconnu
2015-929380cf-1,FR,94002,Alfortville,94,11,2.4214,48.7963,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.4214,48.7963,commune,lieu_controle_inconnu
2015-37c7303a-1,FR,94002,Alfortville,94,11,2.4214,48.7963,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.4214,48.7963,commune,lieu_controle_inconnu
2015-dd15fa71-1,FR,92026,Courbevoie,92,11,2.2574,48.8976,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2574,48.8976,commune,lieu_controle_inconnu
2015-a243cf43-1,FR,75056,Paris,75,11,2.3470,48.8589,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3470,48.8589,commune,lieu_controle_inconnu
2015-205db448-1,FR,94043,Le Kremlin-Bicêtre,94,11,2.3560,48.8087,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3560,48.8087,commune,lieu_controle_inconnu
2015-0bc3c7d4-1,FR,33063,Bordeaux,33,75,-0.5848,44.8624,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.5848,44.8624,commune,lieu_controle_inconnu
2015-8b4b0b4c-1,FR,92004,Asnières-sur-Seine,92,11,2.2935,48.9181,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2935,48.9181,commune,lieu_controle_inconnu
2015-fa242b03-1,FR,37003,Amboise,37,24,0.9989,47.3967,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,0.9989,47.3967,commune,lieu_controle_inconnu
2015-b6f25069-1,FR,95127,Cergy,95,11,2.0455,49.0373,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.0455,49.0373,commune,lieu_controle_inconnu
2015-30b0b433-1,FR,77258,Lognes,77,11,2.6366,48.8325,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.6366,48.8325,commune,lieu_controle_inconnu
2015-6b9d1912-1,FR,01366,Sainte-Julie,01,84,5.2837,45.8802,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.2837,45.8802,commune,lieu_controle_inconnu
2015-31f0101e-4,FR,75056,Paris,75,11,2.3470,48.8589,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3470,48.8589,commune,lieu_controle_inconnu
2015-b874629a-1,FR,50502,Saint-Lô,50,28,-1.0812,49.1123,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-1.0812,49.1123,commune,lieu_controle_inconnu
2015-c35199bd-2,FR,75056,Paris,75,11,2.3470,48.8589,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3470,48.8589,commune,lieu_controle_inconnu
2015-16b88ef3-1,FR,80261,Dury,80,32,2.2788,49.8515,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2788,49.8515,commune,lieu_controle_inconnu
2015-6047cbb7-1,FR,80021,Amiens,80,32,2.2847,49.8987,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2847,49.8987,commune,lieu_controle_inconnu
2015-1a56baf9-1,FR,75056,Paris,75,11,2.3470,48.8589,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3470,48.8589,commune,lieu_controle_inconnu
2015-6938f453-1,FR,94037,Gentilly,94,11,2.3426,48.8120,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3426,48.8120,commune,lieu_controle_inconnu
2015-aa74f62c-1,FR,60139,Chambly,60,32,2.2462,49.1743,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2462,49.1743,commune,lieu_controle_inconnu
